Year,Total ,Male,Female
1990,15.9,11.1,23.4
1991,14.7,10.1,23
1992,14.6,10.7,22.8
1993,13.8,9.7,21.7
1994,13.1,9.7,20.1
1995,12.3,9,18.7
1996,11.3,8.2,17.7
1997,10.5,7.7,16.1
1998,9.2,6.5,14.6
1999,8.9,6.7,13
2000,7.6,5.8,11
2001,7.9,6.2,11.5
2002,8.8,6.6,12.9
2003,8.4,6,13.2
2004,8.3,6,12.8
2005,7.7,5.5,11.9
2006,6.5,4.7,9.7
2007,6,4.3,9
2008,5.4,3.7,8.4
2009,5.8,4.3,8.6
2010,4.9,3.5,7.7
2011,4.2,2.7,7.1
2012,4,2.8,6.3
2013,4.4,3.2,6.6
2014,4.3,3.1,6.5
2015,4.7,3,7.6
2016,4.4,2.9,7
2017,4.2,2.9,6.5
2018,4.4,3,7.1
2019,4.8,3.3,7.4